epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7079,1.74288,2.34189,1.88547,0.0051,0.3,0.00444,0.00072,3.30644,4.10823,4.52798,0.07426,0.00026,0.00026
2,71.0409,1.65851,1.68745,1.79378,1,0.28135,0.65307,0.23477,2.09461,2.67285,2.60619,0.0475125,0.00051251,0.00051251
3,106.413,1.69482,1.6359,1.85281,0.87717,0.75,0.84595,0.40253,1.81485,1.46274,2.06313,0.0207472,0.0007472,0.0007472
4,146.321,1.66616,1.64123,1.86281,0.84816,0.83835,0.83389,0.32709,2.15406,1.34788,2.32888,0.000901,0.000901,0.000901
5,186.449,1.66861,1.63241,1.83035,0.72058,0.9,0.86286,0.39911,1.616,1.2866,2.01609,0.000868,0.000868,0.000868
6,226.689,1.59522,1.40561,1.76551,0.91857,0.75,0.89675,0.44325,1.7177,1.33911,2.00426,0.000835,0.000835,0.000835
7,263.68,1.58397,1.43587,1.79881,0.89292,0.83449,0.89075,0.4206,1.73481,1.55556,2.02813,0.000802,0.000802,0.000802
8,301.573,1.56907,1.36926,1.71263,0.69986,0.75,0.82625,0.48838,1.45362,1.247,1.82662,0.000769,0.000769,0.000769
9,339.816,1.57198,1.29267,1.71619,0.89629,0.95,0.98348,0.52996,1.61963,1.17489,1.86833,0.000736,0.000736,0.000736
10,378.771,1.49973,1.25838,1.65854,0.83329,1,0.96406,0.55271,1.54221,1.05872,1.75788,0.000703,0.000703,0.000703
11,417.658,1.43282,1.24629,1.62998,0.86345,0.85,0.92704,0.47359,1.59499,1.3463,1.87002,0.00067,0.00067,0.00067
12,454.982,1.50457,1.24755,1.6537,0.94876,0.92643,0.94658,0.51772,1.57134,1.00602,1.93317,0.000637,0.000637,0.000637
13,495.444,1.4519,1.20511,1.6855,0.9843,0.8,0.94771,0.55324,1.38446,0.99354,1.67459,0.000604,0.000604,0.000604
14,533.405,1.40046,1.14031,1.59422,0.94947,0.94,0.96357,0.57804,1.3967,0.9172,1.65882,0.000571,0.000571,0.000571
15,567.186,1.39679,1.09848,1.59753,0.95159,0.98349,0.97357,0.51794,1.65059,0.89213,1.88201,0.000538,0.000538,0.000538
16,601.86,1.43768,1.11852,1.64192,1,0.93426,0.98848,0.51742,1.55067,0.87641,1.81725,0.000505,0.000505,0.000505
17,641.161,1.51398,1.09952,1.65983,0.93896,0.95,0.97917,0.43602,1.91412,0.93657,2.13413,0.000472,0.000472,0.000472
18,678.132,1.47269,1.04855,1.66216,0.99009,1,0.995,0.54429,1.47115,0.8663,1.73315,0.000439,0.000439,0.000439
19,714.539,1.28152,0.99362,1.51455,0.99011,1,0.995,0.57664,1.37571,0.7717,1.68674,0.000406,0.000406,0.000406
20,751.242,1.3365,1.00112,1.54551,0.98486,0.8,0.89581,0.48061,1.61715,0.90704,1.84681,0.000373,0.000373,0.000373
21,789.052,1.24968,0.8752,1.63883,0.90404,0.94239,0.9419,0.45683,1.80027,0.97241,2.0481,0.00034,0.00034,0.00034
22,825.45,1.31678,0.82509,1.66334,0.88663,0.9,0.92712,0.497,1.60123,0.85081,1.99281,0.000307,0.000307,0.000307
23,861.531,1.17537,0.77312,1.55937,1,0.8875,0.98196,0.51458,1.57091,0.88078,1.80818,0.000274,0.000274,0.000274
24,897.794,1.17563,0.73204,1.58276,0.98796,1,0.995,0.48915,1.58923,0.89511,1.84819,0.000241,0.000241,0.000241
25,935.973,1.11638,0.70611,1.50935,1,0.84793,0.92774,0.48211,1.64831,0.91291,1.8381,0.000208,0.000208,0.000208
26,972.909,1.0753,0.66842,1.47582,1,0.97823,0.995,0.51828,1.51748,0.85254,1.73099,0.000175,0.000175,0.000175
27,1011.09,1.03858,0.66232,1.44707,0.99371,1,0.995,0.5566,1.45615,0.83128,1.68159,0.000142,0.000142,0.000142
28,1048.07,1.00086,0.63983,1.43566,0.99029,1,0.995,0.56048,1.47966,0.85111,1.69003,0.000109,0.000109,0.000109
29,1083.81,0.97947,0.60242,1.37121,0.97854,1,0.995,0.55568,1.50007,0.83982,1.70946,7.6e-05,7.6e-05,7.6e-05
